Menu,Category,MenuName,Price,Show
1,1,공기밥,1000,
2,1,우동사리,2000,
3,1,라면사리,2000,
4,1,날치알주먹밥,3000,
5,1,예비메뉴,3000,
6,1,예비메뉴,4000,
7,1,예비메뉴,5000,
8,2,타코야끼,5000,
9,2,깐풍육,9900,
10,2,소시지#n감튀,5900,
11,2,닭똥집#n튀김,6900,
12,2,닭껍질#n튀김,6900,
13,2,돈카츠#n감튀,6900,
14,2,찹쌀#n치즈볼,6900,
15,2,납작#n탕수육,8900,
16,2,닭강정,8900,
17,2,김말이#n튀김,4000,
18,2,치즈스틱,6900,
19,2,오징어링,6900,
20,2,크림#n새우튀김,7900,
21,2,우유튀김,5000,
22,2,쥐포튀김,5000,
23,3,염통꼬치,5000,
24,3,소떡소떡,7900,
25,3,닭다리살#n꼬치,7900,
26,3,닭껍질#n꼬치,7900,
27,3,닭똥집#n꼬치,7900,
28,3,새우#n튀김꼬치,7900,
29,3,닭모듬#n8종,8900,
30,3,모듬#n14종,14500,
31,3,게살#n튀김꼬치,7900,
32,3,염통#n소떡,7000,
33,3,닭다리#n닭껍질,7000,
34,3,염통#n닭다리,7000,
35,3,염통#n닭껍질,7000,
36,3,대게#n새우,7000,
37,3,꼬치메뉴예비,14500,
38,7,참소주,4500,
39,7,참이슬,4500,
40,7,청하,5000,
41,7,매화수,5000,
42,7,심술 7도,6500,
43,7,심술 10도,6500,
44,7,빙탄복,7500,
45,8,하이트,4500,
46,8,생맥주#n500cc,3500,
47,8,생맥주#n1700cc,10900,
48,8,생맥주#n3000cc,17500,
49,9,하꾸츠루#n마루,30000,
50,9,간바레#n오또상,30000,
51,9,준마이,30000,
52,9,하꾸츠루#n마루,18000,
53,9,준마이#n다이긴죠,75000,
54,9,하나#n기자쿠라,38000,
55,9,오카네,30000,
56,8,칭따오,6500,
57,8,아사히,7500,
58,8,테라,4500,
59,8,빈메뉴59,7900,
60,8,빈메뉴60,9900,
61,8,빈메뉴61,9900,
62,8,빈메뉴62,7900,
63,8,빈메뉴63,9900,
64,8,빈메뉴64,14500,
65,7,금복주,4500,
66,7,진로,4500,
67,7,깔라만시,5000,
68,13,콜라,2000,
69,13,사이다,2000,
70,13,환타,2000,
71,13,핫식스,2000,
72,13,갈아만든배,2000,
73,13,토닉워터,2000,
74,6,음료예비메뉴,9900,
75,6,음료예비메뉴,9900,
76,6,음료예비메뉴,10900,
77,6,음료예비메뉴,10900,
78,6,음료예비메뉴,12900,
79,7,심술 12도,6500,
80,8,카스,4500,
81,7,소주(무료)-이벤트,0,
82,14,오뎅메뉴82,500,
83,1,이벤트#n음료메뉴1,0,
84,1,이벤트#n음료메뉴2,0,
85,1,이벤트#n음료메뉴3,0,
86,1,이벤트#n음료메뉴4,0,
87,1,이벤트#n음료메뉴5,0,
88,1,이벤트#n음료메뉴6,0,
89,1,이벤트#n음료메뉴7,0,
90,1,이벤트#n음료메뉴8,0,
91,1,이벤트#n음료메뉴9,0,
92,1,이벤트#n음료메뉴10,0,
93,1,이벤트#n음료메뉴11,0,
94,4,마약육회,9900,
95,4,시카고#n피자,12900,
96,4,콘치즈#n고구마,8900,
97,4,고르곤졸라,5900,
98,4,콘치즈#n포테이토,8900,
99,4,얼음황도,6000,
100,2,비빔#n무침만두,5900,
101,4,마른안주,14500,
102,4,오징어#n땅콩,9900,
103,4,왕쥐포#n구이,7900,
104,4,이탈리아#n치즈피자,8900,
105,4,파인#n샤베트,7900,
106,4,야끼우동,9900,
107,4,모듬쏘야,9900,
108,4,두부#n김치삼겹,9900,
109,4,쥬씨쿨,1500,
110,1,이벤트#n메뉴2,0,
111,1,이벤트#n메뉴3,0,
112,1,이벤트#n메뉴4,0,
113,1,이벤트#n메뉴5,0,
114,1,이벤트#n메뉴6,0,
115,1,이벤트#n메뉴7,0,
116,1,이벤트#n메뉴8,0,
117,1,이벤트#n메뉴9,0,
118,1,이벤트#n메뉴10,0,
119,1,이벤트#n메뉴11,0,
120,1,이벤트#n메뉴12,0,
121,1,이벤트#n메뉴13,0,
122,1,이벤트#n메뉴14,0,
123,1,이벤트#n메뉴15,0,
124,6,나가사키#n짬뽕탕,10900,
125,6,상하이#n짬뽕탕,10900,
126,6,차돌나베,10900,
127,6,물만두#n계란탕,7000,
128,6,부산#n오뎅탕,6000,
129,6,해물라면,5000,
130,6,참치#n김치찌개,6000,
131,6,돼지#n김치찌개,6000,
132,6,국물닭발,12900,
133,6,차돌라면,5000,
134,6,국물#n떡볶이,6900,
135,6,국물#n라볶이,7900,
136,6,짜빠구리,7900,
137,6,해물라면,5000,
138,6,탕예비메뉴,1000,
139,1,공기밥,1000,
140,1,우동사리,1000,
141,1,라면사리,1000,
142,1,치즈추가,1000,
143,1,중국당면추가,1000,
144,1,탕에라면사리추가,1000,
145,1,탕에우동사리추가,1000,
146,1,어디에뭐추가,1000,
147,1,어디에뭐추가,1000,
148,1,어디에뭐추가,1000,
149,1,어디에뭐추가,1000,
150,1,어디에뭐추가,1000,
