result,desc
0000.jpg,"오전에는 금전이 들어오지만돌아다닐일이 많아지면서 금전이 셀 수 있습니다.초반에 돈이 들어온다고 하여 방심하면 안됩니다.특히, 바쁘게 돌아다니는 일이 생기는데, 꼭 필요한 일인지를 곰곰히 생각하여 결정하는 것이 좋습니다.밖에 있으면 있을 수록, 사람들을 많이 만나면 만날 수록 손해가 나는 운이므로 일찍 귀가하는 것이 좋습니다."
0001.jpg,바쁘게 돌아다닐 일만 많아지고금전적으로 실속도 없는 날이니 조심해야 합니다.되도록이면 거래를 하지 않는것이 좋습니다.문서를 잡을 일이 있다면 다른 날로 미루거나 밖에 나가지 않는 것이 손해를 최소화 시키는 것이라 할 수 있습니다.
0002.jpg,그동안 금전운이 안좋았었더라도 오늘부터는 금전운이 좋아지기 시작하는 때입니다.의기소침해 있지 말고새롭게 시작하는 마음으로 적극적으로 일에 임하는 것이 좋겠습니다.밖에 나간다면 재물이 들어오는 때이므로 집에 있지 말고 나가시는 것이 좋습니다.그렇다고 너무 큰 기대는 하지않는 것이 좋습니다.이제부터 금전운이 좋아지는 시기이지 결실을 맺을때는 아니기 때문입니다.
0003.jpg,"바쁘게 돌아다니지만 금전적으로 실속이 없는 때입니다.노력을 한 만큼 댓가가 나오지 않고,상사나 직장으로부터 좋은 소리를 듣기 힘든 날입니다.사업가역시 열심히 일은 했지만 손해를 볼 수 있는 날입니다.재물에 대한 기대는 접고, 다음을 위해서 저축을 해 놓는 날이다 생각하시기 바랍니다.또한 사람들에게 선심을 베푼다 해도 좋은 소리를 못듣는 날이니되도록이면 그냥 지나가는 것이 좋습니다. ""주고도 욕먹는 날"" 이라고 보시면 좋습니다."
0004.jpg,금전운이 좋지 않은 날입니다. 직업운이 흔들리기 때문입니다. 지금 하는 일을 계속해야 할지 말아야 할지 고민이 되니 일이 손에 잡히지 않고 마음은 다른 곳으로 떠나게 되는 때입니다. 들어오는 돈 보다는 나가는 돈이 더 많으니 경제적으로 안정되지 못하고 불안한 나날이 계속될 수도있을 것입니다. 정말 큰 돈을 벌고 싶다면 현재 하는 일에 충실하고 현실도피하려는 마음을 다잡아야할 것입니다.
0005.jpg,열심히 일을 하긴 하지만 소득은 어제보다 나아질 것은 없고 바쁘게 돌아다닐일만 생기겠습니다. 돌아다니게 되니 아무래도 지출이 많아지겠지요. 전반적으로 안정되지 못한 때입니다. 그러나 큰 손해를 보는 때는 아닙니다. 현재의 일에 충실하고 땀흘린 댓가정도는 받는 때입니다.
0006.jpg,"바쁘게 일한 결과가 드디어 결실을 맺기 시작하는 날입니다.금전운도 아주 좋습니다.또한 집에 있는 것 보다는 밖에 나가는 것이 더 이익이므로직장인이라면 출장을 자청해서 가는 것도 좋습니다.사업가라면 적극적으로 고객을 만나러간다거나 바쁘게 일을 벌리는 것이 좋습니다.좋은 결과를 얻을 것입니다.단, 바쁘게 돌아다니는 때이므로 수입 만큼 지출도 많아질 수 있습니다."
0007.jpg,"바쁘게 일은 했지만오히려 금전적으로는 손해를 볼 수 있는 날이므로 아주 조심해야 합니다.문서를 잡을 일이 있다면, 오히려 문서가 깨질 수 있습니다.그러므로 거래는 다음날로 미루는 것이 좋습니다.친구들과도 금전적인 거래 역시 하지 않는 것이 좋습니다."
0008.jpg,돈이 들어오기도 하지만 나가기도 하는 때입니다. 바쁘게 돌아다닐 일이 많아지고 그만큼의 댓가도 들어오긴 하지만 경제적인 안정을 찾을때는 아닙니다.사무직보다는 영업인에게 더 좋은 날입니다. 출장을 갈 일도 생기겠습니다.하루를 아주 바쁘게 보내는 때이니 정신없이 하루가 훌쩍 갈 것입니다.
0009.jpg,돈 욕심이 너무 많아서 과욕을 부리게 되고 쓸데 없이 바쁘게만 보낼 수 있는 날입니다.적당한 선에서 절제를 해야 합니다.처음에는 돈이 들어오는 것 같지만 결국에는 손해를 보기 때문입니다.무리한 주식투자는 금물입니다. 자기 분수를 알고 현실을 인정하고 만족하는 사람만이 진정으로 재물을 얻을 수 있을 것입니다.
0010.jpg,돈이 겨우 들어오긴 하는데그나마도 바쁘게 돌아다녀야만 얻을 수있는 날입니다.금전적으로 도움을 받을 사람이 필요한 상황이라면큰 도움은 받지 못해서 실망이 클 것입니다.그나마도 댓가를 지불해야 하는 상황이 생기니기대를 갖는 것은 좋지 못합니다. 자신의 현실적인 상황을 인정하고 분수에 맞게 살아가는 것이 가장 현명한 일입니다.
0011.jpg,"바쁘게 일을 했다면 그만큼의 댓가를 얻는 날이긴 하지만 자칫 양에 차지 않을 수도 있습니다. 그러나 자신의 현 상황을 인정하고 분수를 아는 당신이라면 만족할 것입니다. 손해 보지 않고, 어제보다 조금이라도 더 나아졌다면 그것은 큰 복이랍니다."
0012.jpg,집에 있는 것 보다는 밖에 나가야지 재물이 들어오겠습니다.땀흘려 바쁘게 돌아다닌다면 그만큼의 댓가를 얻겠습니다.목돈이 들어오는 날이기도 합니다. 오늘은 금전운이 좋은 날이니 약간은 주식에 욕심을 내도 되겠습니다.
0013.jpg,일시적으로 큰 돈이 들어올 수 있는 날입니다.복권을 사 보는 것도 좋습니다.또한 바쁘고 정신없이 일이 돌아가는 날이므로 영업하는 분에게 가장 좋은 날이라 할 수 있겠습니다.그러나 경제적으로 안정되지는 않는 날입니다.큰 돈이 들어오기도 하지만 돌아다니게 되는 만큼 지출도 많아지기 때문입니다.
0014.jpg,일을 해야 돈이 들어오니열심히 일하려 마음을 새롭게 먹어보지만자꾸 마음이 딴데로 가는 하루 입니다.어디론가 떠나고 싶다거나 마음이 콩밭에 가있으니 금전운이 좋아질리는 만무합니다. 재물을 얻고 싶다면 땀흘려 일하는 수밖에는 없을 것입니다.
0015.jpg,전반적으로 산만한 날입니다.일도 손에 안잡히고 마음속에 갈등이 많은 날입니다.명상을 한다거나 좋은 음악을 들으면서 마음을 안정시키는 것이 중요합니다.일이 손에 안잡히니 금전운 역시 안좋겠지요. 재물은 상상으로 얻어지는 것이 아닙니다. 성실하게 일하고 현실적으로 성공하려는 의욕이 있는 사람에게만 주어지는 복입니다.
0016.jpg,"어제까지 일하는 것이 힘들고 지지부진 했다면오늘은 새로운 마음이 생겨서 즐겁게 일을 할 수 있는 날입니다.바쁘게 돌아다닐 일이 많아지고, 그만큼의 성과도 있는 날입니다.목 돈은 들어오지 않고 약간의 금전만 손에 쥐지만씨를 뿌리는 날과 같아서 오늘의 일로 인해 나중에 큰 돈이 들어올 것입니다."
0017.jpg,바쁘게 일은 하고 있지만 일에 대한 성과가 나타나지 않아서 힘든 날입니다. 어디론가 떠나가고만 싶고 일이 손에 잡히지 않을 것입니다. 금전운이 좋지 않아서 좌절을 맛보는 날이기도 하니이럴때 일 수록 기분전환이 필요합니다. 잠깐이라도 교외에 나간다거나 일에서 손을 떼고 다른 취미생활을 즐기는 것도 좋습니다.
0018.jpg,아무일도 손에 잡히지 않고 마음속의 갈등이 최고조에 달하는 날입니다어디론가 떠나고 싶어도 현실적인 여건상 떠날 수도 없는 상황이어서 더 힘들 수 있습니다.이럴때는 매운 음식을 먹는다거나 단 음식을 먹어서 마음을 달래보는 것이 좋습니다.사업을 시작하려 한다면 계획과 목표가 확실한지를 다시한번 생각해 보시기 바랍니다. 무조건 시작하고 보자는 마음은 금물입니다.
0019.jpg,어떤 일을 해야 할지 목표의식이 없어지는 날입니다. 하는 일이 재미가 없고 일을 관두고 싶은 마음이 많이 드는 때입니다. 일은 손에 잡히지 않고 어디론가 떠나가고 싶은 마음만 들 것입니다.금전운 역시 좋지 않은 날이고 지출이 더 많아질 수 있습니다. 괜히 외출을 해서 소비만 하지 말고 대청소를 한다든가 밀어두었던 일을 해서 기분전환을 해보는 것도 좋을 것입니다.
0020.jpg,"주변동료들과 마음이 맞아서 일이 잘 해결되는 날이고, 고객들과 의사소통이 잘 되는 날이니 적극적으로 일에 뛰어든다면 좋은 결과를 얻을 것입니다.금전적으로 큰 이익이 생기지는 않지만 기분이 밝아져서 일할 맛이 나는 하루가 되겠습니다.바쁘게 일이 돌아갈 것입니다. 바쁘게 일한 댓가로 나중에 금전적인 결실을 맺게 될 것입니다."
0021.jpg,"이루고자 하는 일이 막바지 갈등에 휩싸이게 되는 때입니다.고지를 눈앞에 두고 자칫하면 흐지 부지 끝낼 수도 있고, 관두고 싶은 마음도 크게 들 때입니다.이럴때는차라리 기분 전환을 위해서 잠깐이라도 일에서 손을 떼고 바람을 쐬러 나가는 것도 좋은 방법입니다.금전운 역시 좋지 않습니다.가을날 추수를 앞두고 쭉정이와 곡식을 가려내는 태풍을 맞는 시간이라 여기시고 끝까지 포기하지 말고 견디시기 바랍니다. 나중에 큰 복이 따를 것입니다."
0022.jpg,그동안 고심해왔던 프로젝트나 사업구상이 마무리 되는 아주 좋은 날입니다.또한 다음단계로 새롭게 나아가는 날이기도 합니다.사업의 진행이 잘 되는 날이므로금전운은 나쁘지 않지만 지출이 더 많은 날이기도 합니다. 그러나 손해를 보는 날은 아니므로 적극적으로 사업에 뛰어들어도 좋을 것입니다.
0023.jpg,"과욕을 부리게 되는 날입니다.과욕은 반드시 화를 불러 오므로 적당한 선에서 마무리를 짓는 것이 좋습니다.의욕이 넘쳐서 처음에는 모든 일을 잘 할 것 같지만 금방 실증이 나고 역부족을 느낄 수 있습니다. 이미지만 안좋아질 수 있고, 금전적인 손해도 당연히 날 것입니다. 도박이나 유흥에 빠져서 돈을 잃을 수 있는 날이므로 조심하시는 것이 좋습니다."
0024.jpg,새로운 사업을 계획중이라면 다시 생각해 봐야할 때입니다. 아직은 자신감과 실력이 부족한 때라서 자칫하면 흐지 부지 끝내게 될 수도 있을 것입니다.현재 사업을 하고 있다 해도 마음이 약해져서 자신감 없게 대처할 수 있으므로마음을 단단히 먹는 것이 좋습니다.금전운 역시 노력한 것에 비해서 댓가가 좀 약한 날이 될 수 있습니다.
0025.jpg,일하느라 바쁘고 힘이 들긴하겠지만 무난하게 일을 마무리 하는 날입니다.그러나 일한 것에 대한 댓가는 그리 크지는 않습니다. 손해보지는 않지만 큰 재물이 들어오는 때는 아닙니다. 양에 차지 않아서 속상할 수 있지만 자기 분수를 알고 살아간다면 이정도면 행복하다 느낄 것입니다.
0026.jpg,힘들고 바쁘게 일을 했어도 결과는 아주 만족스럽게 끝나는 날입니다.책임감도 강해지는 날이므로좀 힘든일도 자처해서 진행한다면 다른 사람들에게 인정을 받기도 할 것입니다.재물 역시 일한 만큼 만족스럽게 들어올 것입니다.
0027.jpg,"그동안 힘들고 바쁘게 일을 했다면오늘은 그 일의 결과가 아주 만족스럽게 나와서자신감에 차는 날입니다.해외나 다른 지사로 이동할 수도 있고 승진운도 있는 때입니다.재물복도 클 것입니다. 단, 바쁘게 돌아다닐일이 많아지므로 지출 역시 많은 때입니다."
0028.jpg,새롭게 일을 시작하는 날 입니다.이직운이 있는 날이므로 직장을 옮기거나 사업을 벌리게 될 수도 있습니다.영업인에게는 활동적이고 에너지가 넘치겠습니다. 고객들을 만나면서 바쁘게 살아가겠습니다.금전운은 나쁜 편은 아니지만 바쁘게 돌아다닌 것에 비해서는 큰 결실은 없을 수 있습니다.비용이 많이 소모되고 지출이 많은 날이기 때문입니다.
0029.jpg,오늘은 되도록이면 돌아다니지 말고 집에 가만히 있는 것이 그나마 손해를 줄일 수 있을 것입니다.어쩔 수 없이 일을 해야한다고 해도되도록이면 사람들을 만나지 않는 것이 좋고 조용히 자기 일을 해 나가는 것이 좋습니다.교통사고수도 있습니다. 조심하시기 바랍니다.금전운 역시 별로 좋지 않습니다. 지출만 많아지고 일한 것에 대한 댓가를 받기 힘든 때입니다.
0030.jpg,고객을 만날일이 있다거나 업무를 미뤄 두었다면오늘은 그 일을 처리하기에 아주 좋은 날입니다.또한 새로운 일에 과감하게 일에 도전해 보는 것이 좋습니다.가만히 있는 것 보다는 돌아다니면 일이 더 해결되는 운입니다.그러나 금전운은 좋지만은 않습니다. 돌아다니는 날이므로 수입보다 지출이 많아지기 때문입니다.
0031.jpg,하는일 마다 꼬이는 위험한 날입니다.특히 교통 사고수도 있으니 조심하는 것이 좋습니다.출장도 뒤로 미루면 좋겠습니다. 그러나 현실적인 여건상 힘들다면무엇보다 마음의 여유를 갖고 조급하게 행동하지 않는 것이 최선일 것입니다.금전운은 역시 좋지 않습니다. 지출이 많아지고 손해도 볼 수 있습니다.
