Question,Choice1,Choice2,Choice3,Answer,Difficulty,Sort,,,,,,,
어떤 사람이 보더라도 같은 의미로 통할 수 있는 그림으로 된 언어체계를 가리키는 말은?,픽토그램,인스타그램,이 문제는 맞히지그램,1,2,◇시사/상식◇,,,,,,,
잘게 다진 문어가 들어간 공 모양의 빵으로 일본의 대표 간식은?,오코노미야키,야키니쿠,타코야키,3,2,◇시사/상식◇,,,1,2,3,4,5
50m 달리기 대회에 출전한 마츠리는 막 3등을 추월했다. 마츠리는 지금 몇 등일까?,1등,2등,3등,3,2,◆IQ테스트◆,,,500원,1000원,2000원,5000원,전액
조선시대 진경산수화를 창안하고 완성한 화가는?,정선,장승업,신윤복,1,4,★역사★,,,,,,,
"테니스에서 0점은 러브, 1점은 피프틴이라고 한다. 그렇다면 2점은 뭐라고 할까?",서티,포티,듀스,3,3,※스포츠※,,,,,,,
신라의 학자 최치원이 '이곳' 절경에 반해 돌에 자신의 호를 새겨 넣은데서 이름이 붙여진 부산의 명소는?,해운대,범어사,감천문화마을,1,4,★역사★,,,,,,,
노래'스승의 은혜'의 맨 마지막 구절의 가사로 올바른 것은?,아아 보답하리 스승의 은혜,아아 고마워라 스승의 은혜,아아 보답하리 스승의 사랑,1,5,◇시사/상식◇,,,,,◆IQ테스트◆,,
"전화를 이용하는 뱅킹 서비스로, ARS를 통해 안내를 듣고 서비스코드를 누르는 방식은?",펌뱅킹,텔레뱅킹,인터넷뱅킹,2,2,◇시사/상식◇,,,,,◇시사/상식◇,,
피클(Pickle)은 무엇을 뜻할까?,절인 음식,발효 식품,곁들임 음식,1,2,◇시사/상식◇,,,,,♥연애♥,,
우리나라에서 운행됐던 열차의 이름이 아닌 것은?,통일호,진달래호,비둘기호,2,3,◇시사/상식◇,,,,,※스포츠※,,
5월 15일 스승의 날은 누구의 생일일까?,세종대왕,흥선대원군,광개토대왕,1,4,★역사★,,,,,★역사★,,
다음중 세계 3대 박물관의 이름과 위치한 나라가 잘못 짝지어진 것은?,영국 - 대영 박물관,미국 - 뉴욕 주립박물관,프랑스 - 루브르 박물관,2,3,◇시사/상식◇,,,,,§넌센스퀴즈§,,
"사물, 사건, 사람 등의 특징을 잡아 희극적으로 풍자한 글이나 그림 또는 그런 표현법은?",캐리커처,스노우,포토샵,1,2,◇시사/상식◇,,,,,☆특급난이도☆,,
"관직 없이 한가롭게 사는 이', '돈 잘쓰고 잘 노는 이'를 비유적으로 이르는 이 말은?",백수,한량,우리오빠,2,1,◇참쉽죠?◇,,,,,◇참쉽죠?◇,,
게임 <슈퍼마리오>에서 마리오의 직업은?,자동차 정비사,정원사,배관공,3,3,◇시사/상식◇,,,,,,,
게맛살의 주원료는?,명태,꽃게,오징어,1,4,◇시사/상식◇,,,,,,,
아이돌 그룹 EXO의 노래 <으르렁>에서 '으르렁'이라는 가사는 몇 번 나오는가?,3번,36번,63번,2,5,♥연애♥,,,,,,,
빛의 3원색은 뭘까요~~?,"빨강, 초록, 파랑","노랑, 초록, 파랑","빨강, 노랑, 파랑",1,3,◇시사/상식◇,,,,,,,
요즘 각종 상품 등에 자주 사용되는 '나노'의 어원은?,개미,난쟁이,먼지,2,3,◇시사/상식◇,,,,,,,
알라딘의 요술 램프'의 알라딘은 어느나라 사람일까?,중국,태국,아랍,1,2,◇시사/상식◇,,,,,,,
남자 아이돌 3대 인기그룹 'EBS'에 속하지 않는 팀은?,EXO,BTS,송골매,3,1,◇시사/상식◇,,,,,,,
"<직찍, 망원렌즈, 통장> 에서 공통적으로 연상되는 것은?",물총,대포,로켓,2,2,◇시사/상식◇,,,,,,,
다음중 리더가 없는 그룹은?,슈퍼주니어,트와이스,블랙핑크,3,3,◇시사/상식◇,,,,,,,
다음중 원곡이 여성 그룹의 곡인것은?,레드벨벳<비내츄럴>,소녀시대<소녀시대>,빅뱅<붉은 노을>,1,3,◇시사/상식◇,,,,,,,
시상식에 전통적으로 '빨간색'카펫을 깔게 된 이유는?,행운의 색이라서,가장 비싸서,때가 잘 안타서,2,3,◇시사/상식◇,,,,,,,
"1억을 숫자로 쓸 때 찍는 쉼표(,)의 개수는?",2개,3개,4개,1,3,◇시사/상식◇,,,,,,,
이온음료 '포카리스웨트'에는 어떤 과실즙이 들어갈까?,레몬,자몽,복숭아,2,3,◇시사/상식◇,,,,,,,
국내에는 '수플OOO팔랑나비'가 있다. 다음 중 빈칸에 들어갈 알맞은 말은?,떠들썩,화들짝,후다닥,1,5,◇시사/상식◇,,,,,,,
"삼국지에서 유비, 관우, 장비가 '도원결의'를 맺은 장소는?",복숭아 밭,아이스크림 가게,단체 채팅방,1,1,◇시사/상식◇,,,,,,,
2018년의 마지막 날짜는 언제일까요?,12월30일,12월31일,12월32일,2,2,◇시사/상식◇,,,,,,,
세안 후 피부결을 정돈해주는 화장품 토너는 주로 '이것'으로 불린다. 무엇일까?,스킨,로션,크림,1,2,◇시사/상식◇,,,,,,,
베스킨라빈스에서 제품 구매 시 적립 가능한 포인트의 명칭은?,해피포인트,배라포인트,핑크포인트,1,1,◇시사/상식◇,,,,,,,
다음 중 '술래'가 없는 놀이는?,숨바꼭질,가위바위보,무궁화 꽃이 피었습니다,2,2,◇시사/상식◇,,,,,,,
다음 중 인도네시아에서 한글을 표기 문자로 채택한 민족은?,치르치르족,바우바우족,찌아찌아족,3,5,◇시사/상식◇,,,,,,,
고려시대 가요<쌍화점>에서 '쌍화점'은?,술집,한약방,만두가게,3,4,◇시사/상식◇,,,,,,,
기성용 선수는 뉴캐슬에서 등번호 몇번을 받았을까?,4번,6번,16번,1,3,◇시사/상식◇,,,,,,,
다음 중 국내에서 종사자 수가 제일 많은 자영업 업종은 무엇일까?,커피숍,치킨집,편의점,3,3,◇시사/상식◇,,,,,,,
홍길동이 가난한 사람들을 구제하기 위햏 만든 것은?,홍치당,활빈당,골빈당,2,1,◇시사/상식◇,,,,,,,
"<따릉이, 페달로, 오포>는 무엇의 종류일까?",공공주택,공공화장실,공공자전거,3,3,◇시사/상식◇,,,,,,,
국내에서 드론으로 실제 우편물이 배달된 최초의 지역은?,독도,득량도,제주도,2,4,◇시사/상식◇,,,,,,,
닭은 다음 중 어디에 속할까?,닭과,꿩과,메추리과,2,5,◇시사/상식◇,,,,,,,
"일이 흐지부지 되었을 때 ""계획이 ( )나다""라고 한다. 빈칸은?",파토,파투,파호,2,4,◇시사/상식◇,,,,,,,
모기의 암컷이 흡혈에 이용하는 침은 몇 개 일까요~~?,1개,3개,6개,3,5,◇시사/상식◇,,,,,,,
에어컨 냉각수에 서식하며 '냉방병'을 유발하는 균은?,갈리오넬라,베일로넬라,레지오넬라,3,5,◇시사/상식◇,,,,,,,
"""산 위에서 부는 바람 서늘한 바람~"" 으로 시작되는 동요 제목은?",2번 선택 바람,산바람 강바람,2번 선택 바람,2,1,◇시사/상식◇,,,,,,,
얼굴을 가면으로 가린 괴신사가 프리마돈나를 사랑하게 되는 뮤지컬은?,오페라의 유령,오페라의 귀신,오페라의 좀비,1,2,◇시사/상식◇,,,,,,,
다음 중 공포영화가 아닌 것은?,장화홍련,여고괴담,클레멘타인,3,2,◇시사/상식◇,,,,,,,
태양계의 행성 중 외계 생물체가 있을 것으로 추정되는 이 행성은?,화성,금성,수성,1,2,◇시사/상식◇,,,,,,,
영어 'Cold case'가 의미하는 것은,감기약 봉지,미해결 사건,빙산의 일각,2,4,◇시사/상식◇,,,,,,,
지구가 태양 빛을 가려 달이 지구의 그림자 속으로 완전히 사라지는 현상은?,개기 일식,부분 월식,개기 월식,3,4,◇시사/상식◇,,,,,,,
아제르바이잔의 전통 목욕법은 '이것'으로 반신욕을 하는 것이다. 이것은?,석유,초콜릿,모래,1,4,◇시사/상식◇,,,,,,,
개기월식때 달이 붉게 보이는 현상은?,애플 문,블루 문,블러드 문,3,3,◇시사/상식◇,,,,,,,
"경상도 사투리 ""쌔빠지게 일하다""에서 ""쌔""는?",눈,코,혀,3,3,◇시사/상식◇,,,,,,,
국가 비상사태 시에 군사권을 발동하여 치안을 유지하는 대통령의 고유권한은?,계엄령,한계령,대관령,1,1,◇시사/상식◇,,,,,,,
식용유로 쓰이는 '카놀라유'는 무엇으로 만들까?,현미의 껍질,유채꽃의 씨앗,기름야자의 잎,2,3,◇시사/상식◇,,,,,,,
극지방에서 여름에 해가 지지 않는 것은 '백야'다. 겨울에 해가 뜨지 않는 것은?,흑야,극야,전야,2,3,◇시사/상식◇,,,,,,,
하하와 스컬이 속한 그룹의 새 팀명은?,야인,하스쿠나,레게 강 같은 평화,3,3,◇시사/상식◇,,,,,,,
반려동물 할 때 '반려'의 사전적 의미는?,평생 함께 할 동무,짝이 되는 동무,사랑하는 동무,2,3,◇시사/상식◇,,,,,,,
다음 중 철의 100배 강도를 가지고 있는 물질은?,물놀이 튜브,자전거 튜브,탄소 나노 튜브,3,3,◇시사/상식◇,,,,,,,
이것은 아이들을 벌 줄 때 쓰는 도구이다. 이것의 이름은?,회초리,주리,젓가락,1,2,◇시사/상식◇,,,,,,,
영어로 '그리스도 이전'을 뜻하는 'BC'를 우리말로 하면?,응원전,기원전,탈원전,2,1,◇시사/상식◇,,,,,,,
우리 몸에서 자외선을 차단하고 피부색을 결정하는 색소는?,트레오닌,페닐알라닌,멜라닌,3,4,◇시사/상식◇,,,,,,,
개의 품종 중 닥스훈트는 '이것 사냥'을 뜻하는 말이다. '이것'은?,오소리,더위,마녀,1,3,◇시사/상식◇,,,,,,,
다음 중 숫자는?,양세형,감호동,아승기,3,4,◇시사/상식◇,,,,,,,
프랑스 소설가 '베르나르 베르베르'의 작품이 아닌것은?,개미,고양이,나비,3,3,◇시사/상식◇,,,,,,,
다음 중 여행자들이 저렴한 가격으로 묵을 수 있는 숙박 시설은?,화이트하우스,게스트하우스,비닐하우스,2,2,◇시사/상식◇,,,,,,,
속담 '마른 OOO 날벼락' 빈칸에 알맞은 말은?,오징어,파이브,하늘에,3,1,◇시사/상식◇,,,,,,,
열기도 더해지고 끈적끈적해서 활동하기가 힘든 날은 무엇이 높을까?,불쾌지수,콧날,수준,1,1,◇시사/상식◇,,,,,,,
우리나라의 전통 음료로 계피를 달인 물에 꿀을 넣어 만드는 것은?,식혜,매실차,수정과,3,3,◇시사/상식◇,,,,,,,
현재 미혼 남성을 뜻하는 '총각'은 조선시대의 '이것'이었다. '이것'은?,옷,직업,헤어스타일,3,3,◇시사/상식◇,,,,,,,
미국에는 '( )'만을 치료하는 병원이 있다. 빈칸은?,술병,향수병,상사병,1,4,◇시사/상식◇,,,,,,,
자동차 번호판 가운데 한글은 무엇을 의미할까?,차량의 크기,차량의 용도,차량의 등록지역,2,4,◇시사/상식◇,,,,,,,
국내 최대규모의 해바라기 축제가 열리는 이곳은 어디일까?,곡성,부여,태백,3,3,◇시사/상식◇,,,,,,,
"링거주사를 맞고 나서, 혈관에 꽂혀있는 것은?",스테인리스 바늘,실리콘 튜브,둘 다 ,2,3,◇시사/상식◇,,,,,,,
다음 중 산에서 약수를 마실 수 있도록 만들어 둔 장소는?,약수터,구청 로비,땀샘,1,1,◇시사/상식◇,,,,,,,
주택이나 빌딩 건물 맨 꼭대기에 설치된 주거공간은?,반지하,옥탑방,찜질방,2,1,◇시사/상식◇,,,,,,,
다음 중 침대의 규격이 아닌 것은?,킹,퀸,프린스,3,2,◇시사/상식◇,,,,,,,
"불교에서 머리 3개, 팔 6개가 달린 모습으로 묘사되는 수호신은?",아수라,야차,옥황상제,1,3,◇시사/상식◇,,,,,,,
롤러코스터는 어떤 놀이에서 유래되었을까?,그네타기,미끄럼틀 타기,시소 타기,2,3,◇시사/상식◇,,,,,,,
그리스 신화 속 '판도라의 상자'는 원래 무엇이었을까?,금고,주머니,항아리,3,4,◇시사/상식◇,,,,,,,
다음 중 태풍과 더불어 세계 3대 강풍으로 꼽히는 게 아닌 것은?,허리케인,블리자드,사이클론,2,4,◇시사/상식◇,,,,,,,
"""좁쌀""이라는 뜻의 사명을 쓰는 중국 기업은?",샤이니,샤오미,샤샤샤,2,2,◇시사/상식◇,,,,,,,
다음 중 유재석이 출연한 적 없는 방송사는?,KBS,JTBC,tvN,3,3,◇시사/상식◇,,,,,,,
다음 중 유효기간이 없는 것은?,병원 처방전,주민등록증,항공사 마일리지,2,2,◇시사/상식◇,,,,,,,
KTX 이용시 일반식 좌석을 특실로 업그레이드 받을 수 있는 사람은?,임산부,수능 당일 수험생,기초생활 수급자,1,3,◇시사/상식◇,,,,,,,
다음 중 우리나라에서 실제로 존재하지 않는 전철 역명은?,야당역,노은역,대리역,3,4,◇시사/상식◇,,,,,,,
"설화 '견우와 직녀'에서 견우는 이것을 키우는 목동인데, 이것은 무엇일까?",개,소,양,2,4,◇시사/상식◇,,,,,,,
병원이나 의원 등에서 환자의 치료와 진료를 돕는 직업은,간호사,환자,보호자,1,2,◇시사/상식◇,,,,,,,
건강보험공단에서 국민의 질환 예방과 조기발견을 목적으로 실시하는 것은?,일반건강검진,구속수사,사회봉사명령,1,1,◇시사/상식◇,,,,,,,
다이어트 기간 동안 먹고 싶은 것을 참다가 마음껏 먹는 날은?,메이데이,니가먼데이,치팅데이,3,1,◇시사/상식◇,,,,,,,
아들과 딸을 1명씩 둔 사람은 '슬하 1남1녀'라고 한다. 슬하는?,무릎아래,허리아래,어깨아래,1,4,◇시사/상식◇,,,,,,,
음악 장르 '발라드'의 어원은?,말하다,춤추다,사랑하다,2,3,◇시사/상식◇,,,,,,,
다음 중 실제로 오를 수 없는 산은?,팔공산,맛동산,비슬산,2,1,◇시사/상식◇,,,,,,,
축구를 뜻하는 단어가 아닌 것은?,Soccer,baseball,football,2,2,◇시사/상식◇,,,,,,,
<프로듀스48>에 출연하지 않는 사람은?,집밥 백선생,댄스 트레이너 배윤정,국민 프로듀서 대표 이승기,1,1,◇시사/상식◇,,,,,,,
리버풀 출신 청년들이 모여 결성한 전설적인 팝그룹 '비틀즈'의 멤버가 아닌 사람은?,존 레논,로저 테일러,조지 해리슨,2,3,◇시사/상식◇,,,,,,,
명왕성의 서양권 이름인 플루토는 그리스 신화 속 이 '신'의 로마식 이름이다. 이 '신'은 누구인가?,하데스,아폴론,헤파이스토스,1,3,◇시사/상식◇,,,,,,,
예능 '효리네 민박'의 배경이 되었던 집의 소유권은 누구한테 있을까?,이효리,이상순,JTBC,3,3,◇시사/상식◇,,,,,,,
졸업사진 패러디의 원조로 유명한 고등학교는?,동두천고,의정부고,경기예고,2,2,◇시사/상식◇,,,,,,,
"친구가 ""나 더위 먹었어.""라고 말했다. 무슨 뜻일까?",배가 너무 고파,너도 먹을래?,기운이 없어,3,2,◇시사/상식◇,,,,,,,
다음 중 멤버 구성원 수가 다른것은?,파워레인저,닌자 거북이,텔레토비,1,4,◇시사/상식◇,,,,,,,
토양의 상태에 따라 색이 변하는 꽃은?,수국,튤립,장미,1,4,◇시사/상식◇,,,,,,,
"""산OO OO야 어디를 가느냐"" 빈칸에 들어갈 동요 '산토끼'의 가사는?",도끼,Dok2,토끼,3,1,◇시사/상식◇,,,,,,,
다음 중 흑인 음악에 속하지 않는 장르는?,가스펠,재즈,트로트,3,2,◇시사/상식◇,,,,,,,
예능 프로그램 <고등래퍼2>의 우승자는?,김영옥,김하온,장문복,2,3,◇시사/상식◇,,,,,,,
다음 중 예능 프로그램 <나 혼자 산다>에 출연 한 적이 없는 사람은?,헤이즈,창모,쌈디,2,2,◇시사/상식◇,,,,,,,
아주 기이하고 엉뚱한 생각'을 사자성오로 하면?,성주참외,기상천외,날씨문의는 기상청에,2,2,◇시사/상식◇,,,,,,,
어떤것이 급격하게 커졌을 때 사용하는 말이 아닌 것은?,급성장,폭풍성장,산송장,3,1,◇시사/상식◇,,,,,,,
"""왜 이렇게 사진발이 안 받지? 너는 OO이 훨씬 낫다"" 빈칸에 적절한 것은?",얼굴보다 발,실물,뒤통수에 난 점,2,1,◇시사/상식◇,,,,,,,
대한민국 헌법 제 1조 1항 '대한민국은 ( )이다.' 빈칸에 올바른 말은?,민주공화국,민주주의 인민공화국,사회주의 국가,1,2,◇시사/상식◇,,,,,,,
