Menu,Category,MenuName,Price,Show
1,1,공기밥,1000,
2,1,우동사리,2000,
3,1,라면사리,2000,
4,1,칼국수사리,2000,
5,1,빈메뉴,0,
6,5,모듬부산오뎅탕,9900,
7,5,나가사키#n해물짬뽕탕,12900,
8,5,상하이#n해물짬뽕탕,12900,
9,5,떡칼국수#n물만두계란탕,9900,
10,5,돼지김치짜글이,9900,
11,5,뮐페유 차돌나베,12900,
12,3,치킨 가라아게,9900,
13,3,닭껍질 가라아게#n(닭껍질튀김),9000,
14,3,닭똥집 가라아게,9900,
15,3,새우튀김,9000,
16,3,게살튀김,9000,
17,3,쫄깃쫄깃#n타코야끼,7000,
18,3,치즈오꼬노미야끼,9900,
19,3,찹쌀치즈볼,7000,
20,3,연유우유튀김,7000,
21,3,치즈스틱,7000,
22,3,소시지&감자튀김,9000,
23,3,돈카츠&감자튀김,10900,
24,6,폭탄두부 김치삼겹볶음,10900,
25,6,차돌박이 숙주볶음,11900,
26,6,철판볶음야끼우동,11900,
27,6,매운 해물볶음야끼우동,12900,
28,5,국물떡볶이,8000,
29,5,국물라볶이,9000,
30,5,짜빠구리,9000,
31,5,해물라면,6000,
32,5,차돌라면,6000,
33,3,아이스황도,6000,
34,3,파인샤베트,8000,
35,3,마약육회,10900,
36,3,쥐포튀김,5000,
37,3,쥐포구이,9900,
38,7,참소주,5000,
39,7,참이슬,5000,
40,7,청하,5000,
41,7,매화수,5500,
42,7,심술 7도,6500,
43,7,심술 10도,6500,
44,7,빙탄복,7500,
45,8,한맥,4500,
46,8,생맥주 500cc,4500,
47,8,생맥주 1700cc,12900,
48,8,생맥주 3000cc,19500,
49,9,하꾸츠루마루,30000,
50,9,간바레 오또상,30000,
51,9,준마이,30000,
52,9,하꾸츠루마루,18000,
53,9,준마이 다이긴죠,75000,
54,9,하나기자쿠라,38000,
55,9,오카네,30000,
56,8,칭따오,6500,
57,8,아사히,7500,
58,8,테라,5000,
59,8,빈메뉴59,7900,
60,8,빈메뉴60,9900,
61,8,빈메뉴61,9900,
62,8,빈메뉴62,7900,
63,8,빈메뉴63,9900,
64,8,빈메뉴64,14500,
65,7,금복주,5000,
66,7,진로,5000,
67,7,깔라만시,5000,
68,13,콜라,2000,
69,13,사이다,2000,
70,13,환타,2000,
71,13,핫식스,2000,
72,13,갈아만든배,2000,
73,13,토닉워터,2000,
74,6,음료예비메뉴,9900,
75,6,음료예비메뉴,9900,
76,6,음료예비메뉴,10900,
77,6,음료예비메뉴,10900,
78,6,음료예비메뉴,12900,
79,7,심술 12도,6500,
80,8,카스,5000,
81,7,소주(무료)-이벤트,0,
82,4,염통꼬치,5000,
83,4,닭다리살 꼬치,8000,
84,4,닭껍질 꼬치,8000,
85,4,닭똥집 꼬치,8000,
86,4,소떡소떡,8000,
87,4,모듬8종꼬치,11000,
88,4,소세지꼬치,6000,
