result,desc
0000.jpg,현실적으로 자신에게 맞는 사람이란 생각에 상대방을 만나긴 하지만 오래가지는 못하겠습니다.가볍게 만난다면 서로에게 손해는 없습니다.가끔가다 만나서 적당하게 즐기는 것이 좋습니다. 서로에게 큰 마음은 없기 때문입니다.
0001.jpg,이별수가 있는 때입니다. 외적인 조건이 마음에 들지 않거나 현실적인 문제들이 생기기 때문입니다.진실한 사랑이 있다면 얼마든지 극복할 수 있을 것이지만사랑 보다는 조건적인 만남으로 만난 사이라면 아무리 사탕같이 달콤한 사이였다 해도 금방 무너지게 되는 것이지요. 진실한 사랑은 인생도 살찌울 것입니다. 더 늦기 전에 순수하고 열정적인 사랑을 찾아야할 것입니다.
0002.jpg,"외출을 하거나 여행을 간다면 멋진 사람을 만날 수 있습니다.연인사이라면 여행을 가거나 선물을 받는등 좋은 일이 생길 수 있습니다.잘 보이고싶은 사람이 있다면, 그 분과 짧게라고 여행을 떠나십시요.그렇게 되면 상대방의 마음을 잡을 수 있습니다."
0003.jpg,"이별수가 있는 날입니다.이성을 사랑하는 감정의 눈으로 바라보는 것이 아니라현실적으로 이득이 되는지를 따지면서 만나게 되니, 만나면 만날 수록 손해본다는 생각에 결국에는 이별을 택하게 되는 것입니다. 사랑은 거래가 아니지요. 아무리 이익되는 사람이라도 사랑 없는 만남은 오래가지 못할 것입니다."
0004.jpg,현실적인 장벽때문에 헤어져야 할지 말아야 할지 고민이 되는 날입니다.그러나 확신이 없어서 결정을 내리지 못하고 시간만 보낼 수 있습니다.하지만 정말 사랑한다면 현실적인 장벽을 얼마든지 극복 할 수 있을 것입니다. 현실적인 문제 보다는 서로 얼마나 사랑하고 있는지를 생각해 보는 것이 우선되어야 겠습니다.현재 쏠로인 당신이라면 현실적인 여건때문에 차라리 혼자있는 것을 택하게 되는 때입니다. 애정운이 좋지 못한 하루 입니다.
0005.jpg,오늘 만나려는 이성과는 이익도 손해도 되지않는 그저그런 사람입니다.사귀고 있는 사람이 있다면 권태기를 느낄 수 있겠습니다. 자칫하면 오래가지 못할 수도 있으니잊혀져가는 사랑을 꺼내보려 노력해야 할 것입니다.처음만났던 데이트 장소를 다시 가본다든가 짧게라도 여행을 떠나보는 것은 어떤가요?
0006.jpg,"소개팅을 한다면 멋진 킹카 (퀸카)를 만나는 날입니다.연인끼리 데이트를 한다면 좋은 선물을 주고 받기도 하고, 즐거운 일이 생기겠습니다.이성간의 스킨쉽이 강해지는 때입니다. 진실한 사랑과 혼돈이 될 수도 있을 것입니다. 진실된 사랑인지 이성간의 탐심인지 신중하게 판단하는 것도 잊지 마시길 바랍니다."
0007.jpg,현실적인 장벽에 부?H쳐서 헤어지기 쉬운 날입니다.만나던 사람과도 이별수가 있는 날이니 만큼새롭게 만남을 시도한다거나 소개팅을 하려 한다면 다음날로 미루는 것이 좋습니다.이성간에 금전적인 문제도 꼬일 수가 있는 때입니다. 사랑인지 거래인지를 신중하게 판단하시기 바랍니다.
0008.jpg,외적인 조건이 괜찮은 이성을 새롭게 만날 수 있는 날입니다. 그러나 현재 사귀고 있는 이성이 있다면 새출발을 하는 때이므로 이별수도 함께 있는 날이기도 합니다. 교통정리를 잘 하셔야 할 것입니다. 현실적인 조건이 좋다고 무조건 사랑하는 사이는 되지 않을 것입니다. 진심으로 사랑하는 사람이 누구인지 냉정하게 판단해 보시기 바랍니다.
0009.jpg,오늘 이성을 만난다면 진심으로 사랑하는 마음이기 보다는 이성에 대한 탐심에 의한 것이니 조심해야 합니다. 유흥에 빠질 수도 있고 부적절한 관계가 될 수도 있습니다.하루 정도를 가볍게 즐기겠다는 마음이라면 괘찮을지 모르지만순간의 감정에 빠져서 후회할 일도 생길 수 있으니 마음단속을 잘 하시기 바랍니다. 금전적인 손해를 볼 수도 있는 때입니다.
0010.jpg,괜찮은 사람인줄 알고 만나 왔다면오늘은 생각보다 양에 차지 않는다는 것을 알게 될 것입니다.이성에게 선물을 받을 기대를 하고 있다면 큰 기대는 하지 않는 것이 좋습니다.실망할 수 있습니다. 반면 당신은 상대방에게 얼마나 큰 선물을 하고 있으신가요? 얼마나 진심으로 사랑하고 있나요?
0011.jpg,만나고 있는 이성이 무난하지만 큰 매력을 느끼지는 못하는 때입니다.연애는 괜찮지만 결혼까지 가기에는 양에 차지 않게 느껴질 수도 있습니다.이럴때 진심어린 사랑이 빠져있다면 결국에는 오래가지 못할 수도 있겠습니다. 당신은 얼마나 진실된 사랑을 하고 계신가요?
0012.jpg,사랑보다는 결혼을 전제로한 만남을 갖게 되는 때입니다.서로에 대한 마음은 없을 지 몰라도 현실적으로 조건이 맞고 필요한 사람들이기 때문입니다.그러므로 헤어지려는 마음을 가졌다면 다시한번 신중하게 판단하시고 결정을 하는 것이 좋습니다.소개팅을 하는 날이라면 성실하고 현실적으로 안정된 분을 만나는 날입니다.
0013.jpg,킹카를 만나는 날이기도 하지만 바람둥이일 수도 있으므로 쉽게 마음을 보여주어서는 안되는 날입니다. 사귄다고 하더라도 오래가지 못해서 헤어질 수 있기 때문입니다.또한 진심으로 사랑하는 마음보다는 서로에게 이익이 되는지 손해가 나는지에만 촛점을 맞추고 있어서 오래가지 못할 수도 있습니다. 외적인 조건보다는 서로 사랑하는 마음으로 만나야 하지 않을까요?
0014.jpg,"새출발을 하는 때입니다.사귀던 사람과 결별하고 새로운 사람을 만날 수도 있고, 헤어지려는 연인과 다시 시작할 수도 있는 날입니다. 마음속으로 좋아하는 이성이 있다면 고백을 해도 좋습니다. 그 분과 새로운 출발을 할 수 있습니다. 이제 더이상은 갈등은 접고 새로운 변화를 시도해 보시기 바랍니다."
0015.jpg,마음속에 갈등이 많아져서 사귀는 사람과 헤어질 수 있는 날입니다.그러나 다분히 감정적인 결정일 수 있습니다. 오늘은 애정운이 좋지 않은 날이므로 다음날 다시한번 생각해 보는 것이 좋겠습니다.새로운 사람을 만나는 것도 좋지 않습니다. 마음으로 부터 누군가를 밀어내려는 마음이 크기 때문입니다. 데이트는 다음날로 미루시기 바랍니다.
0016.jpg,이성과 가볍게 여행을 떠난다면 연인 사이가 될 수 있는 절호의 찬스입니다.그곳에서 고백을 하면 좋은 결과를 볼 것입니다.만약 이별을 준비하는 사람이라도 다시 만나게 되는 날입니다. 이별여행을 떠나보는 것도 나쁘지는 않을 것입니다.
