Menu,Category,MenuName,Price,Show,,,
1,1,공기밥,1000,,,,
2,1,우동사리,2000,,,,
3,1,라면사리,2000,,,,
4,2,치차론#n(돼지껍데기 튀김),5500,false,,,
5,2,쫄깃쫄깃#n타코야끼,5500,,,,
6,2,고소한 콘치즈#n베이컨 포테이토,5500,,,,
7,2,도리하트(염통)#n꼬치구이,5500,,,,
8,2,모모니쿠#n직화 꼬치구이,5500,,,,
9,2,도리와새#n똥집 가라아게,5500,,,,
10,3,규우니쿠(ぎゅうにく)#n찹스테이크,9900,,,,
11,3,にわとりの#n닭똥집 가라아게,9900,,,,
12,3,おこのみやき#n전통오꼬노미야끼,9900,,,,
13,3,エビフライ#n도쿄애비후라이,9900,,,,
14,3,쯔꾸네#n(つくね),9900,,,,
15,3,쿠시카츠 9종#n모듬튀김꼬지,9900,,,,
16,3,오꼬노미#n폭탄계란말이,9900,,,,
17,3,세미로무시#n차돌말이,9900,false,,,
18,4,규우니쿠(ぎゅうにく)#n마약육회,9900,,,,
19,4,도리와새(けいにく)#n지존국물닭발,9900,,,,
20,4,시모후리(しもふり)#n차돌숙주볶음,9900,,,,
21,4,중화칠리#n깐풍육,9900,,,,
22,4,핫 스파이시#n크림 쉬림프,9900,,,,
23,4,시원 달달#n모듬 과일 화채,9900,,,,
24,4,후라이드#n튀발(닭발튀김),9900,,,,
25,4,부타 미소(みそ)#n통삼겹 구이,9900,,,,
26,5,치차론&#n도쿠리사케,10000,false,,,
27,5,콘치즈베이컨&#n도쿠리사케,10000,false,,,
28,5,염통꼬치구이&#n도쿠리사케,10000,false,,,
29,6,나가사키#n해물 짬뽕탕,9900,,,,
30,6,밀푀유#n차돌 나베,9900,,,,
31,6,나카스#n가마보고 오뎅탕,9900,,,,
32,6,규우니쿠(ぎゅうにく)#n모츠나베,9900,false,,,
33,6,상하이#n해물 불짬뽕탕,9900,,,,
34,6,밀푀유 꽃삼겹#n돼지 김치 나베,9900,,,,
35,6,도리니쿠(けいにく)#n한마리 닭도리탕,9900,false,,,
36,5,직화꼬치구이&#n도쿠리사케,10000,false,,,
37,5,타코야끼&#n도쿠리사케,10000,false,,,
38,7,참소주,4500,,,,
39,7,참이슬,4500,,,,
40,7,청하,6000,,,,
41,7,매화수,6000,,,,
42,7,깔라만시,5000,,,,복분자에서변화
43,7,심술 7도,6500,,,,
44,7,빙탄복,8500,,,,
45,8,병맥주(하이트),5000,,,,
46,8,생맥주#n500cc,4500,,,,
47,8,생맥주#n1700cc,13500,,,,
48,8,생맥주#n3000cc,21000,,,,
49,9,하꾸츠루 마루900,30000,,,,
50,9,간바레오또상 900,30000,,,,
51,9,준마이 750,30000,,,,
52,9,마루 준마이 900,35000,,,,
53,10,딸기 소주,6900,FALSE,,,
54,10,망고 소주,6900,FALSE,,,
55,10,블루베리 소주,6900,FALSE,,,
56,10,복숭아 소주,6900,FALSE,,,
57,10,청포도 소주,6900,FALSE,,,
58,11,딸기#n막걸리타,4900,FALSE,,,
59,11,망고#n막걸리타,4900,FALSE,,,
60,11,블루베리#n막걸리타,4900,FALSE,,,
61,11,밤바밤바#n막걸리타,4900,FALSE,,,
62,11,복숭아#n막걸리타,4900,FALSE,,,
63,11,청포도#n막걸리타,4900,FALSE,,,
64,11,밀크#n막걸리타,4900,FALSE,,,
65,11,요거트#n막걸리타,4900,FALSE,,,
66,12,자작폭탄 좀비주,9900,FALSE,,,
67,12,잭다니엘 허니,69000,,,,
68,13,콜라,2000,,,,
69,13,사이다,2000,,,,
70,13,환타,2000,,,,
71,13,핫식스,2000,,,,
72,13,초코에몽,2000,,,,
73,13,딸기에몽,2000,FALSE,,,
74,13,갈아만든 배,2000,,,,
75,13,돼지바,1000,,,,
76,13,수박바,1000,,,,
77,13,메로나,1000,,,,
78,13,스크류바,1000,,,,
79,7,심술 12도,6500,,,,
80,5,가라아게&#n도쿠리사케,10000,false,,,NEW
