Menu,Category,MenuName,Price,Show
1,1,공기밥,1000,
2,1,우동사리,2000,
3,1,라면사리,2000,
4,2,쿠시카츠#n모듬튀김꼬지,7900,
5,2,돈카츠#n모듬감자튀김,7900,
6,2,고소한 콘치즈#n베이컨 포테이토,6900,
7,2,도리하트(염통)#n꼬치구이,6900,
8,2,모모니쿠#n직화닭꼬치,7900,
9,2,三ギョプサラダ#n삼겹샐러드,7900,
10,2,모듬#n쏘야볶음,8900,
11,2,모듬#n쏘시지감튀,8900,
12,3,おこのみやき#n이까오꼬노미야끼,9900,
13,3,エビフライ#n도쿄애비후라이,9900,
14,3,쫄깃쫄깃#n타코야끼,6900,
15,3,김치&삼겹#n오꼬노미야끼,9900,
16,3,오꼬노미#n폭탄계란말이,6900,
17,3,시모후리(しもふり)#n차돌숙주볶음,9900,
18,4,규우니쿠(ぎゅうにく)#n달달마약육회,8900,
19,4,상큼#n육회물회,9900,
20,4,폭탄#n두부김치삼겹,9900,
21,4,달달중화칠리#n깐풍육&새우,9900,
22,4,스파이시크림#n베이컨떡볶이,9900,
23,4,ひひほほ#n유쾌샐러드,8900,FALSE
24,4,후라이드#n무뼈튀발,9900,
25,4,직화 부타#n제육볶음,9900,
26,5,상큼달달시원#n과일화채,11900,
27,5,용궁성특제#n타코&소라와사비,13900,
28,5,도리와새(けいにく)#n무뼈국물닭발,12900,
29,6,나가사키#n해물 짬뽕탕,9900,
30,6,밀푀유#n차돌 나베,9900,
31,6,나카스#n가마보고 오뎅탕,9900,
32,6,あさり#n홍합바지락술탕,9900,FALSE
33,6,상하이#n해물 불짬뽕탕,9900,
34,6,밀푀유#n돼지 김치 나베,9900,
35,5,환상의조합#n치즈오븐쉬림프,12900,FALSE
36,3,도리와새(けいにく)#n닭똥집 가라아게,8900,
37,3,모모니쿠#n치킨다리가라아게,9900,
38,7,참소주,4000,
39,7,참이슬,4000,
40,7,청하,5000,
41,7,매화수,5000,
42,7,깔라만시,5000,
43,7,심술 7도,6000,
44,7,빙탄복,7500,
45,8,병맥주(하이트),4000,
46,8,생맥주#n500cc,3500,
47,8,생맥주#n1700cc,10900,
48,8,생맥주#n3000cc,16900,
49,9,하꾸츠루 마루900,28000,
50,9,간바레오또상 900,28000,
51,9,준마이 750,28000,
52,9,마루 준마이 900,33000,
53,10,딸기 소주,6900,FALSE
54,10,망고 소주,6900,FALSE
55,10,블루베리 소주,6900,FALSE
56,10,복숭아 소주,6900,FALSE
57,10,청포도 소주,6900,FALSE
58,11,딸기#n막걸리타,4900,FALSE
59,11,망고#n막걸리타,4900,FALSE
60,11,블루베리#n막걸리타,4900,FALSE
61,11,밤바밤바#n막걸리타,4900,FALSE
62,11,복숭아#n막걸리타,4900,FALSE
63,11,청포도#n막걸리타,4900,FALSE
64,11,밀크#n막걸리타,4900,FALSE
65,11,요거트#n막걸리타,4900,FALSE
66,12,자작폭탄 좀비주,9900,FALSE
67,12,잭다니엘 허니,69000,
68,13,콜라,2000,
69,13,사이다,2000,
70,13,환타,2000,
71,13,핫식스,2000,
72,13,초코에몽,2000,FALSE
73,13,딸기에몽,2000,FALSE
74,13,갈아만든 배,2000,FALSE
75,13,돼지바,1000,FALSE
76,13,수박바,1000,FALSE
77,13,메로나,1000,FALSE
78,13,스크류바,1000,FALSE
79,7,심술 12도,6000,
80,5,한땀한땀#n12종 모듬꼬치,12900,FALSE
81,7,소주(무료)-이벤트,0,
82,14,오뎅,1000,
