!!!!------ Server Start ------!!!,	OnLoad,	C:\Users\USER\source\repos\SP_Server\SP_Server\Frm.cs (55),	2018-03-14 오후 4:38:25
[connect cnt: 1] any client Connected!!,	WriteLog,	C:\Users\USER\source\repos\SP_Server\SP_Server\Frm.cs (115),	2018-03-14 오후 4:38:28
[table Num : -1] protocol id LOGIN_REQ,	FreeNet.IPeer.on_message,	C:\Users\USER\source\repos\SP_Server\SP_Server\User.cs (56),	2018-03-14 오후 4:38:28
[table Num : -1] protocol id FAILED_NOT_NUMBER,	SP_Server.UserState.IUserState.on_message,	C:\Users\USER\source\repos\SP_Server\SP_Server\UserState\UserLobbyState.cs (69),	2018-03-14 오후 4:38:28
[table Num : -1] protocol id LOGIN_REQ,	FreeNet.IPeer.on_message,	C:\Users\USER\source\repos\SP_Server\SP_Server\User.cs (56),	2018-03-14 오후 4:38:46
[table Num : 10000] protocol id LOGIN_ACK,	SP_Server.UserState.IUserState.on_message,	C:\Users\USER\source\repos\SP_Server\SP_Server\UserState\UserLobbyState.cs (69),	2018-03-14 오후 4:38:46
[table Num : 10000] client Disconnected!!,	on_message,	C:\Users\USER\source\repos\SP_Server\SP_Server\FreeNet\CUserToken.cs (175),	2018-03-14 오후 4:38:57
[connect cnt: 1] any client Connected!!,	WriteLog,	C:\Users\USER\source\repos\SP_Server\SP_Server\Frm.cs (115),	2018-03-14 오후 4:41:11
[table Num : -1] protocol id LOGIN_REQ,	FreeNet.IPeer.on_message,	C:\Users\USER\source\repos\SP_Server\SP_Server\User.cs (56),	2018-03-14 오후 4:41:11
[table Num : 3] protocol id LOGIN_ACK,	SP_Server.UserState.IUserState.on_message,	C:\Users\USER\source\repos\SP_Server\SP_Server\UserState\UserLobbyState.cs (69),	2018-03-14 오후 4:41:11
[connect cnt: 2] any client Connected!!,	WriteLog,	C:\Users\USER\source\repos\SP_Server\SP_Server\Frm.cs (115),	2018-03-14 오후 4:41:29
[table Num : -1] protocol id LOGIN_REQ,	FreeNet.IPeer.on_message,	C:\Users\USER\source\repos\SP_Server\SP_Server\User.cs (56),	2018-03-14 오후 4:41:29
[table Num : 10000] protocol id LOGIN_ACK,	SP_Server.UserState.IUserState.on_message,	C:\Users\USER\source\repos\SP_Server\SP_Server\UserState\UserLobbyState.cs (69),	2018-03-14 오후 4:41:29
[connect cnt: 3] any client Connected!!,	WriteLog,	C:\Users\USER\source\repos\SP_Server\SP_Server\Frm.cs (115),	2018-03-14 오후 4:41:33
[table Num : -1] protocol id LOGIN_REQ,	FreeNet.IPeer.on_message,	C:\Users\USER\source\repos\SP_Server\SP_Server\User.cs (56),	2018-03-14 오후 4:41:33
[table Num : 4] protocol id LOGIN_ACK,	SP_Server.UserState.IUserState.on_message,	C:\Users\USER\source\repos\SP_Server\SP_Server\UserState\UserLobbyState.cs (69),	2018-03-14 오후 4:41:33
[table Num : 3] client Disconnected!!,	on_message,	C:\Users\USER\source\repos\SP_Server\SP_Server\FreeNet\CUserToken.cs (175),	2018-03-14 오후 4:53:14
[table Num : 4] client Disconnected!!,	on_message,	C:\Users\USER\source\repos\SP_Server\SP_Server\FreeNet\CUserToken.cs (175),	2018-03-14 오후 4:53:16
[connect cnt: 2] any client Connected!!,	WriteLog,	C:\Users\USER\source\repos\SP_Server\SP_Server\Frm.cs (115),	2018-03-14 오후 4:54:10
[table Num : -1] protocol id LOGIN_REQ,	FreeNet.IPeer.on_message,	C:\Users\USER\source\repos\SP_Server\SP_Server\User.cs (56),	2018-03-14 오후 4:54:10
[table Num : 3] protocol id LOGIN_ACK,	SP_Server.UserState.IUserState.on_message,	C:\Users\USER\source\repos\SP_Server\SP_Server\UserState\UserLobbyState.cs (69),	2018-03-14 오후 4:54:10
[table Num : 10000] client Disconnected!!,	on_message,	C:\Users\USER\source\repos\SP_Server\SP_Server\FreeNet\CUserToken.cs (175),	2018-03-14 오후 4:54:31
[table Num : 3] client Disconnected!!,	on_message,	C:\Users\USER\source\repos\SP_Server\SP_Server\FreeNet\CUserToken.cs (175),	2018-03-14 오후 4:54:51
[connect cnt: 1] any client Connected!!,	WriteLog,	C:\Users\USER\source\repos\SP_Server\SP_Server\Frm.cs (115),	2018-03-14 오후 4:55:52
[table Num : -1] protocol id LOGIN_REQ,	FreeNet.IPeer.on_message,	C:\Users\USER\source\repos\SP_Server\SP_Server\User.cs (56),	2018-03-14 오후 4:55:52
[table Num : 3] protocol id LOGIN_ACK,	SP_Server.UserState.IUserState.on_message,	C:\Users\USER\source\repos\SP_Server\SP_Server\UserState\UserLobbyState.cs (69),	2018-03-14 오후 4:55:52
[table Num : 3] client Disconnected!!,	on_message,	C:\Users\USER\source\repos\SP_Server\SP_Server\FreeNet\CUserToken.cs (175),	2018-03-14 오후 4:56:06
!!!!------ Server Closing ------!!!,	frmClosing,	C:\Users\USER\source\repos\SP_Server\SP_Server\Frm.cs (197),	2018-03-14 오후 4:58:06
