!!!!------ Server Start ------!!!,	OnLoad,	C:\Users\Cho\Desktop\SP_Server\SP_Server\Frm.cs (57),	2018-06-06 오후 11:43:26
[connect cnt: 1] any client Connected!!,	WriteLog,	C:\Users\Cho\Desktop\SP_Server\SP_Server\Frm.cs (116),	2018-06-06 오후 11:44:13
[table Num : -1] client Disconnected!!,	on_message,	C:\Users\Cho\Desktop\SP_Server\SP_Server\FreeNet\CUserToken.cs (175),	2018-06-06 오후 11:44:24
[connect cnt: 1] any client Connected!!,	WriteLog,	C:\Users\Cho\Desktop\SP_Server\SP_Server\Frm.cs (116),	2018-06-06 오후 11:48:19
[table Num : -1] client Disconnected!!,	on_message,	C:\Users\Cho\Desktop\SP_Server\SP_Server\FreeNet\CUserToken.cs (175),	2018-06-06 오후 11:48:24
[connect cnt: 1] any client Connected!!,	WriteLog,	C:\Users\Cho\Desktop\SP_Server\SP_Server\Frm.cs (116),	2018-06-06 오후 11:54:48
[table Num : -1] client Disconnected!!,	on_message,	C:\Users\Cho\Desktop\SP_Server\SP_Server\FreeNet\CUserToken.cs (175),	2018-06-06 오후 11:54:57
[connect cnt: 1] any client Connected!!,	WriteLog,	C:\Users\Cho\Desktop\SP_Server\SP_Server\Frm.cs (116),	2018-06-06 오후 11:55:20
[table Num : -1] client Disconnected!!,	on_message,	C:\Users\Cho\Desktop\SP_Server\SP_Server\FreeNet\CUserToken.cs (175),	2018-06-06 오후 11:55:23
[connect cnt: 1] any client Connected!!,	WriteLog,	C:\Users\Cho\Desktop\SP_Server\SP_Server\Frm.cs (116),	2018-06-06 오후 11:55:27
[table Num : -1] client Disconnected!!,	on_message,	C:\Users\Cho\Desktop\SP_Server\SP_Server\FreeNet\CUserToken.cs (175),	2018-06-06 오후 11:55:29
[connect cnt: 1] any client Connected!!,	WriteLog,	C:\Users\Cho\Desktop\SP_Server\SP_Server\Frm.cs (116),	2018-06-06 오후 11:55:55
[table Num : -1] client Disconnected!!,	on_message,	C:\Users\Cho\Desktop\SP_Server\SP_Server\FreeNet\CUserToken.cs (175),	2018-06-06 오후 11:55:58
[connect cnt: 1] any client Connected!!,	WriteLog,	C:\Users\Cho\Desktop\SP_Server\SP_Server\Frm.cs (116),	2018-06-06 오후 11:56:36
[table Num : -1] client Disconnected!!,	on_message,	C:\Users\Cho\Desktop\SP_Server\SP_Server\FreeNet\CUserToken.cs (175),	2018-06-06 오후 11:56:41
[connect cnt: 1] any client Connected!!,	WriteLog,	C:\Users\Cho\Desktop\SP_Server\SP_Server\Frm.cs (116),	2018-06-06 오후 11:56:56
[table Num : -1] client Disconnected!!,	on_message,	C:\Users\Cho\Desktop\SP_Server\SP_Server\FreeNet\CUserToken.cs (175),	2018-06-06 오후 11:56:59
[connect cnt: 1] any client Connected!!,	WriteLog,	C:\Users\Cho\Desktop\SP_Server\SP_Server\Frm.cs (116),	2018-06-06 오후 11:57:08
[table Num : -1] client Disconnected!!,	on_message,	C:\Users\Cho\Desktop\SP_Server\SP_Server\FreeNet\CUserToken.cs (175),	2018-06-06 오후 11:57:11
[connect cnt: 1] any client Connected!!,	WriteLog,	C:\Users\Cho\Desktop\SP_Server\SP_Server\Frm.cs (116),	2018-06-06 오후 11:57:22
[table Num : -1] client Disconnected!!,	on_message,	C:\Users\Cho\Desktop\SP_Server\SP_Server\FreeNet\CUserToken.cs (175),	2018-06-06 오후 11:57:25
[connect cnt: 1] any client Connected!!,	WriteLog,	C:\Users\Cho\Desktop\SP_Server\SP_Server\Frm.cs (116),	2018-06-07 오전 12:04:48
[table Num : -1] client Disconnected!!,	on_message,	C:\Users\Cho\Desktop\SP_Server\SP_Server\FreeNet\CUserToken.cs (175),	2018-06-07 오전 12:05:10
[connect cnt: 1] any client Connected!!,	WriteLog,	C:\Users\Cho\Desktop\SP_Server\SP_Server\Frm.cs (116),	2018-06-07 오전 12:05:27
[table Num : -1] client Disconnected!!,	on_message,	C:\Users\Cho\Desktop\SP_Server\SP_Server\FreeNet\CUserToken.cs (175),	2018-06-07 오전 12:06:05
[connect cnt: 1] any client Connected!!,	WriteLog,	C:\Users\Cho\Desktop\SP_Server\SP_Server\Frm.cs (116),	2018-06-07 오전 12:06:40
[table Num : -1] client Disconnected!!,	on_message,	C:\Users\Cho\Desktop\SP_Server\SP_Server\FreeNet\CUserToken.cs (175),	2018-06-07 오전 12:06:50
[connect cnt: 1] any client Connected!!,	WriteLog,	C:\Users\Cho\Desktop\SP_Server\SP_Server\Frm.cs (116),	2018-06-07 오전 12:07:30
[table Num : -1] client Disconnected!!,	on_message,	C:\Users\Cho\Desktop\SP_Server\SP_Server\FreeNet\CUserToken.cs (175),	2018-06-07 오전 12:08:15
[connect cnt: 1] any client Connected!!,	WriteLog,	C:\Users\Cho\Desktop\SP_Server\SP_Server\Frm.cs (116),	2018-06-07 오전 12:09:21
[table Num : -1] client Disconnected!!,	on_message,	C:\Users\Cho\Desktop\SP_Server\SP_Server\FreeNet\CUserToken.cs (175),	2018-06-07 오전 12:09:32
[connect cnt: 1] any client Connected!!,	WriteLog,	C:\Users\Cho\Desktop\SP_Server\SP_Server\Frm.cs (116),	2018-06-07 오전 12:09:48
[table Num : -1] client Disconnected!!,	on_message,	C:\Users\Cho\Desktop\SP_Server\SP_Server\FreeNet\CUserToken.cs (175),	2018-06-07 오전 12:12:11
[connect cnt: 1] any client Connected!!,	WriteLog,	C:\Users\Cho\Desktop\SP_Server\SP_Server\Frm.cs (116),	2018-06-07 오전 12:12:26
[table Num : -1] client Disconnected!!,	on_message,	C:\Users\Cho\Desktop\SP_Server\SP_Server\FreeNet\CUserToken.cs (175),	2018-06-07 오전 12:12:39
[connect cnt: 1] any client Connected!!,	WriteLog,	C:\Users\Cho\Desktop\SP_Server\SP_Server\Frm.cs (116),	2018-06-07 오전 12:13:21
[table Num : -1] client Disconnected!!,	on_message,	C:\Users\Cho\Desktop\SP_Server\SP_Server\FreeNet\CUserToken.cs (175),	2018-06-07 오전 12:13:27
[connect cnt: 1] any client Connected!!,	WriteLog,	C:\Users\Cho\Desktop\SP_Server\SP_Server\Frm.cs (116),	2018-06-07 오전 12:14:02
[table Num : -1] client Disconnected!!,	on_message,	C:\Users\Cho\Desktop\SP_Server\SP_Server\FreeNet\CUserToken.cs (175),	2018-06-07 오전 12:14:26
[connect cnt: 1] any client Connected!!,	WriteLog,	C:\Users\Cho\Desktop\SP_Server\SP_Server\Frm.cs (116),	2018-06-07 오전 12:15:18
[table Num : -1] client Disconnected!!,	on_message,	C:\Users\Cho\Desktop\SP_Server\SP_Server\FreeNet\CUserToken.cs (175),	2018-06-07 오전 12:15:25
[connect cnt: 1] any client Connected!!,	WriteLog,	C:\Users\Cho\Desktop\SP_Server\SP_Server\Frm.cs (116),	2018-06-07 오전 12:25:48
[table Num : -1] client Disconnected!!,	on_message,	C:\Users\Cho\Desktop\SP_Server\SP_Server\FreeNet\CUserToken.cs (175),	2018-06-07 오전 12:26:09
[connect cnt: 1] any client Connected!!,	WriteLog,	C:\Users\Cho\Desktop\SP_Server\SP_Server\Frm.cs (116),	2018-06-07 오전 12:26:27
[table Num : -1] protocol id LOGIN_REQ,	FreeNet.IPeer.on_message,	C:\Users\Cho\Desktop\SP_Server\SP_Server\User.cs (57),	2018-06-07 오전 12:26:32
[table Num : 1] protocol id LOGIN_ACK,	SP_Server.UserState.IUserState.on_message,	C:\Users\Cho\Desktop\SP_Server\SP_Server\UserState\UserLobbyState.cs (68),	2018-06-07 오전 12:26:32
[table Num : 1] client Disconnected!!,	on_message,	C:\Users\Cho\Desktop\SP_Server\SP_Server\FreeNet\CUserToken.cs (175),	2018-06-07 오전 12:26:49
[connect cnt: 1] any client Connected!!,	WriteLog,	C:\Users\Cho\Desktop\SP_Server\SP_Server\Frm.cs (116),	2018-06-07 오전 12:26:57
[table Num : -1] client Disconnected!!,	on_message,	C:\Users\Cho\Desktop\SP_Server\SP_Server\FreeNet\CUserToken.cs (175),	2018-06-07 오전 12:27:08
[connect cnt: 1] any client Connected!!,	WriteLog,	C:\Users\Cho\Desktop\SP_Server\SP_Server\Frm.cs (116),	2018-06-07 오전 12:27:14
[table Num : -1] client Disconnected!!,	on_message,	C:\Users\Cho\Desktop\SP_Server\SP_Server\FreeNet\CUserToken.cs (175),	2018-06-07 오전 12:27:18
[connect cnt: 1] any client Connected!!,	WriteLog,	C:\Users\Cho\Desktop\SP_Server\SP_Server\Frm.cs (116),	2018-06-07 오전 12:29:39
[table Num : -1] protocol id LOGIN_REQ,	FreeNet.IPeer.on_message,	C:\Users\Cho\Desktop\SP_Server\SP_Server\User.cs (57),	2018-06-07 오전 12:29:41
[table Num : 1] protocol id LOGIN_ACK,	SP_Server.UserState.IUserState.on_message,	C:\Users\Cho\Desktop\SP_Server\SP_Server\UserState\UserLobbyState.cs (68),	2018-06-07 오전 12:29:41
[table Num : 1] protocol id LOGIN_REQ,	FreeNet.IPeer.on_message,	C:\Users\Cho\Desktop\SP_Server\SP_Server\User.cs (57),	2018-06-07 오전 12:29:49
[table Num : 1] protocol id LOGIN_ACK,	SP_Server.UserState.IUserState.on_message,	C:\Users\Cho\Desktop\SP_Server\SP_Server\UserState\UserLobbyState.cs (68),	2018-06-07 오전 12:29:49
[table Num : 1] client Disconnected!!,	on_message,	C:\Users\Cho\Desktop\SP_Server\SP_Server\FreeNet\CUserToken.cs (175),	2018-06-07 오전 12:29:56
[connect cnt: 1] any client Connected!!,	WriteLog,	C:\Users\Cho\Desktop\SP_Server\SP_Server\Frm.cs (116),	2018-06-07 오전 12:31:34
[table Num : -1] protocol id LOGIN_REQ,	FreeNet.IPeer.on_message,	C:\Users\Cho\Desktop\SP_Server\SP_Server\User.cs (57),	2018-06-07 오전 12:31:37
[table Num : 1] protocol id LOGIN_ACK,	SP_Server.UserState.IUserState.on_message,	C:\Users\Cho\Desktop\SP_Server\SP_Server\UserState\UserLobbyState.cs (68),	2018-06-07 오전 12:31:37
[table Num : 1] client Disconnected!!,	on_message,	C:\Users\Cho\Desktop\SP_Server\SP_Server\FreeNet\CUserToken.cs (175),	2018-06-07 오전 12:31:44
!!!!------ Server Closing ------!!!,	frmClosing,	C:\Users\Cho\Desktop\SP_Server\SP_Server\Frm.cs (199),	2018-06-07 오전 1:18:12
