!!!!------ Server Start ------!!!,	OnLoad,	C:\SP\Tokyolong\SP_Server\SP_Server\Frm.cs (57),	2018-06-21 오전 2:14:10
[connect cnt: 1] any client Connected!!,	WriteLog,	C:\SP\Tokyolong\SP_Server\SP_Server\Frm.cs (116),	2018-06-21 오전 2:15:22
[table Num : -1] protocol id LOGIN_REQ,	FreeNet.IPeer.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\User.cs (57),	2018-06-21 오전 2:15:24
[table Num : 1] protocol id LOGIN_ACK,	SP_Server.UserState.IUserState.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (77),	2018-06-21 오전 2:15:24
[table Num : 1] protocol id ENTER_CUSTOMER_REQ,	FreeNet.IPeer.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\User.cs (57),	2018-06-21 오전 2:15:34
[table Num : 1] protocol id ENTER_CUSTOMER_ACK,	SP_Server.UserState.IUserState.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (77),	2018-06-21 오전 2:15:34
[table Num : 1] protocol id ORDER_REQ,	FreeNet.IPeer.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\User.cs (57),	2018-06-21 오전 2:15:44
[table Num : 1] protocol id ORDER_ACK,	SP_Server.UserState.IUserState.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (77),	2018-06-21 오전 2:15:44
[table Num : 1] protocol id ORDER_REQ,	FreeNet.IPeer.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\User.cs (57),	2018-06-21 오전 2:16:15
[table Num : 1] protocol id ORDER_ACK,	SP_Server.UserState.IUserState.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (77),	2018-06-21 오전 2:16:15
[table Num : 1] protocol id ORDER_REQ,	FreeNet.IPeer.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\User.cs (57),	2018-06-21 오전 2:16:26
[table Num : 1] protocol id ORDER_ACK,	SP_Server.UserState.IUserState.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (77),	2018-06-21 오전 2:16:26
[table Num : 1] client Disconnected!!,	on_message,	C:\Users\Cho\Desktop\SP_Server\SP_Server\FreeNet\CUserToken.cs (175),	2018-06-21 오전 2:16:48
[connect cnt: 1] any client Connected!!,	WriteLog,	C:\SP\Tokyolong\SP_Server\SP_Server\Frm.cs (116),	2018-06-21 오전 2:26:14
[table Num : -1] protocol id LOGIN_REQ,	FreeNet.IPeer.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\User.cs (57),	2018-06-21 오전 2:26:17
[table Num : 1] protocol id LOGIN_ACK,	SP_Server.UserState.IUserState.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (77),	2018-06-21 오전 2:26:17
[table Num : 1] protocol id ENTER_CUSTOMER_REQ,	FreeNet.IPeer.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\User.cs (57),	2018-06-21 오전 2:26:24
[table Num : 1] protocol id ENTER_CUSTOMER_ACK,	SP_Server.UserState.IUserState.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (77),	2018-06-21 오전 2:26:24
[table Num : 1] protocol id ORDER_REQ,	FreeNet.IPeer.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\User.cs (57),	2018-06-21 오전 2:26:34
[table Num : 1] protocol id ORDER_ACK,	SP_Server.UserState.IUserState.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (77),	2018-06-21 오전 2:26:34
[table Num : 1] protocol id ORDER_REQ,	FreeNet.IPeer.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\User.cs (57),	2018-06-21 오전 2:26:42
[table Num : 1] protocol id ORDER_ACK,	SP_Server.UserState.IUserState.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (77),	2018-06-21 오전 2:26:42
[table Num : 1] protocol id ORDER_REQ,	FreeNet.IPeer.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\User.cs (57),	2018-06-21 오전 2:27:23
[table Num : 1] protocol id ORDER_ACK,	SP_Server.UserState.IUserState.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (77),	2018-06-21 오전 2:27:23
[table Num : 1] client Disconnected!!,	on_message,	C:\Users\Cho\Desktop\SP_Server\SP_Server\FreeNet\CUserToken.cs (175),	2018-06-21 오전 2:28:25
[connect cnt: 1] any client Connected!!,	WriteLog,	C:\SP\Tokyolong\SP_Server\SP_Server\Frm.cs (116),	2018-06-21 오전 2:28:31
[table Num : -1] protocol id LOGIN_REQ,	FreeNet.IPeer.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\User.cs (57),	2018-06-21 오전 2:28:33
[table Num : 1] protocol id LOGIN_ACK,	SP_Server.UserState.IUserState.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (77),	2018-06-21 오전 2:28:33
[table Num : 1] protocol id ENTER_CUSTOMER_REQ,	FreeNet.IPeer.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\User.cs (57),	2018-06-21 오전 2:28:41
[table Num : 1] protocol id ENTER_CUSTOMER_ACK,	SP_Server.UserState.IUserState.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (77),	2018-06-21 오전 2:28:41
[table Num : 1] protocol id ORDER_REQ,	FreeNet.IPeer.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\User.cs (57),	2018-06-21 오전 2:28:50
[table Num : 1] protocol id ORDER_ACK,	SP_Server.UserState.IUserState.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (77),	2018-06-21 오전 2:28:50
[table Num : 1] client Disconnected!!,	on_message,	C:\Users\Cho\Desktop\SP_Server\SP_Server\FreeNet\CUserToken.cs (175),	2018-06-21 오전 2:28:55
[connect cnt: 1] any client Connected!!,	WriteLog,	C:\SP\Tokyolong\SP_Server\SP_Server\Frm.cs (116),	2018-06-21 오전 2:31:10
[table Num : -1] protocol id LOGIN_REQ,	FreeNet.IPeer.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\User.cs (57),	2018-06-21 오전 2:31:13
[table Num : 1] protocol id LOGIN_ACK,	SP_Server.UserState.IUserState.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (77),	2018-06-21 오전 2:31:13
[table Num : 1] protocol id ENTER_CUSTOMER_REQ,	FreeNet.IPeer.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\User.cs (57),	2018-06-21 오전 2:31:20
[table Num : 1] protocol id ENTER_CUSTOMER_ACK,	SP_Server.UserState.IUserState.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (77),	2018-06-21 오전 2:31:20
[table Num : 1] protocol id ORDER_REQ,	FreeNet.IPeer.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\User.cs (57),	2018-06-21 오전 2:31:30
