!!!!------ Server Start ------!!!,	OnLoad,	C:\Users\SH\Desktop\Tokyolong\SP_Server\SP_Server\Frm.cs (61),	2018-07-08 오후 3:43:05
[connect cnt: 1] any client Connected!!,	WriteLog,	C:\Users\SH\Desktop\Tokyolong\SP_Server\SP_Server\Frm.cs (120),	2018-07-08 오후 3:50:21
[table Num : -1] client Disconnected!!,	on_message,	C:\Users\SH\Desktop\Tokyolong\SP_Server\SP_Server\FreeNet\CUserToken.cs (175),	2018-07-08 오후 3:50:47
[connect cnt: 2] any client Connected!!,	WriteLog,	C:\Users\SH\Desktop\Tokyolong\SP_Server\SP_Server\Frm.cs (120),	2018-07-08 오후 3:50:53
[table Num : -1] client Disconnected!!,	on_message,	C:\Users\SH\Desktop\Tokyolong\SP_Server\SP_Server\FreeNet\CUserToken.cs (175),	2018-07-08 오후 3:51:10
[connect cnt: 3] any client Connected!!,	WriteLog,	C:\Users\SH\Desktop\Tokyolong\SP_Server\SP_Server\Frm.cs (120),	2018-07-08 오후 3:57:14
[table Num : -1] client Disconnected!!,	on_message,	C:\Users\SH\Desktop\Tokyolong\SP_Server\SP_Server\FreeNet\CUserToken.cs (175),	2018-07-08 오후 3:57:29
[connect cnt: 4] any client Connected!!,	WriteLog,	C:\Users\SH\Desktop\Tokyolong\SP_Server\SP_Server\Frm.cs (120),	2018-07-08 오후 3:57:41
[table Num : -1] client Disconnected!!,	on_message,	C:\Users\SH\Desktop\Tokyolong\SP_Server\SP_Server\FreeNet\CUserToken.cs (175),	2018-07-08 오후 3:57:42
[connect cnt: 5] any client Connected!!,	WriteLog,	C:\Users\SH\Desktop\Tokyolong\SP_Server\SP_Server\Frm.cs (120),	2018-07-08 오후 4:03:33
[table Num : -1] protocol id LOGIN_REQ,	FreeNet.IPeer.on_message,	C:\Users\SH\Desktop\Tokyolong\SP_Server\SP_Server\User.cs (81),	2018-07-08 오후 4:03:36
[table Num : 10000] protocol id LOGIN_ACK,	SP_Server.UserState.IUserState.on_message,	C:\Users\SH\Desktop\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (222),	2018-07-08 오후 4:03:36
[table Num : 10000] client Disconnected!!,	on_message,	C:\Users\SH\Desktop\Tokyolong\SP_Server\SP_Server\FreeNet\CUserToken.cs (175),	2018-07-08 오후 4:04:48
[connect cnt: 5] any client Connected!!,	WriteLog,	C:\Users\SH\Desktop\Tokyolong\SP_Server\SP_Server\Frm.cs (120),	2018-07-08 오후 4:05:18
[table Num : -1] protocol id LOGIN_REQ,	FreeNet.IPeer.on_message,	C:\Users\SH\Desktop\Tokyolong\SP_Server\SP_Server\User.cs (81),	2018-07-08 오후 4:05:21
[table Num : 10000] protocol id LOGIN_ACK,	SP_Server.UserState.IUserState.on_message,	C:\Users\SH\Desktop\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (222),	2018-07-08 오후 4:05:21
[connect cnt: 6] any client Connected!!,	WriteLog,	C:\Users\SH\Desktop\Tokyolong\SP_Server\SP_Server\Frm.cs (120),	2018-07-08 오후 4:05:53
[table Num : -1] client Disconnected!!,	on_message,	C:\Users\SH\Desktop\Tokyolong\SP_Server\SP_Server\FreeNet\CUserToken.cs (175),	2018-07-08 오후 4:05:57
[connect cnt: 6] any client Connected!!,	WriteLog,	C:\Users\SH\Desktop\Tokyolong\SP_Server\SP_Server\Frm.cs (120),	2018-07-08 오후 4:05:59
[table Num : -1] protocol id LOGIN_REQ,	FreeNet.IPeer.on_message,	C:\Users\SH\Desktop\Tokyolong\SP_Server\SP_Server\User.cs (81),	2018-07-08 오후 4:06:01
[table Num : 1] protocol id LOGIN_ACK,	SP_Server.UserState.IUserState.on_message,	C:\Users\SH\Desktop\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (222),	2018-07-08 오후 4:06:01
[table Num : 1] protocol id ENTER_CUSTOMER_REQ,	FreeNet.IPeer.on_message,	C:\Users\SH\Desktop\Tokyolong\SP_Server\SP_Server\User.cs (81),	2018-07-08 오후 4:06:18
[table Num : 1] protocol id ENTER_CUSTOMER_ACK,	SP_Server.UserState.IUserState.on_message,	C:\Users\SH\Desktop\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (222),	2018-07-08 오후 4:06:18
[table Num : 1] protocol id ORDER_DETAIL_REQ,	FreeNet.IPeer.on_message,	C:\Users\SH\Desktop\Tokyolong\SP_Server\SP_Server\User.cs (81),	2018-07-08 오후 4:06:45
[table Num : 1] protocol id ORDER_DETAIL_ACK,	SP_Server.UserState.IUserState.on_message,	C:\Users\SH\Desktop\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (222),	2018-07-08 오후 4:06:45
[table Num : 1] client Disconnected!!,	on_message,	C:\Users\SH\Desktop\Tokyolong\SP_Server\SP_Server\FreeNet\CUserToken.cs (175),	2018-07-08 오후 4:14:29
